package_id,package_name,destination,duration,hotel_category,meals,transportation,major_attractions,activities,package_type,best_for,rating,estimated_cost
IND0033,hyderabad explorer tour,hyderabad,7,5star,breakfast lunch dinner,train cab,charminar hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.5,17000
IND0034,hyderabad heritage tour,hyderabad,4,5star,breakfast dinner,flight cab,golconda fort hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.4,30500
IND0035,hyderabad royal tour,hyderabad,6,3star,breakfast,ac coach,hussain sagar lake hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.3,52500
IND0036,hyderabad scenic tour,hyderabad,3,3star,breakfast lunch dinner,ac coach,ramoji film city hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.4,27000
IND0037,hyderabad adventure tour,hyderabad,7,3star,breakfast,private cab,salar jung museum hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.4,131500
IND0038,hyderabad cultural tour,hyderabad,4,3star,breakfast dinner,private cab,qutb shahi tombs hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.4,25500
IND0039,hyderabad nature tour,hyderabad,7,5star,breakfast lunch dinner,train cab,birla mandir hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.7,42000
IND0040,hyderabad premium tour,hyderabad,4,luxury heritage,breakfast,train cab,chowmahalla palace hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.4,99000
IND0041,hyderabad luxury tour,hyderabad,6,3star,breakfast,train cab,nehru zoological park hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.2,15500
IND0042,hyderabad family tour,hyderabad,5,luxury heritage,breakfast dinner,private cab,lumbini park hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.1,34500
IND0043,kolkata explorer tour,kolkata,3,luxury heritage,breakfast lunch dinner,flight cab,victoria memorial kolkata local market kolkata city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.6,38000
IND0044,kolkata heritage tour,kolkata,3,4star,breakfast,train cab,howrah bridge kolkata local market kolkata city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.6,27000
IND0045,kolkata royal tour,kolkata,4,4star,breakfast dinner,train cab,indian museum kolkata local market kolkata city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.6,98500
IND0046,kolkata scenic tour,kolkata,4,luxury heritage,breakfast lunch dinner,private cab,dakshineswar kali temple kolkata local market kolkata city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.7,26500
IND0047,kolkata adventure tour,kolkata,3,3star,breakfast,ac coach,kalighat kali temple kolkata local market kolkata city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.4,28500
IND0048,kolkata cultural tour,kolkata,6,luxury heritage,breakfast,train cab,eden gardens kolkata local market kolkata city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.1,124500
IND0049,kolkata nature tour,kolkata,3,luxury heritage,breakfast,train cab,alipore zoological gardens kolkata local market kolkata city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.3,11500
IND0050,kolkata premium tour,kolkata,5,5star,breakfast dinner,train cab,science city kolkata kolkata local market kolkata city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.4,35500
IND0051,kolkata luxury tour,kolkata,4,5star,breakfast,private cab,belur math kolkata local market kolkata city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.7,43500
IND0052,kolkata family tour,kolkata,7,5star,breakfast,private cab,marble palace kolkata local market kolkata city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.4,47500
IND0053,goa explorer tour,goa,7,4star,breakfast,private cab,calangute beach goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,luxury,premium travelers,4.4,132000
IND0054,goa heritage tour,goa,4,3star,breakfast lunch dinner,ac coach,basilica of bom jesus goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.5,25500
IND0055,goa royal tour,goa,6,4star,breakfast lunch dinner,private cab,fort aguada goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.2,42000
IND0056,goa scenic tour,goa,7,luxury heritage,breakfast lunch dinner,flight cab,dudhsagar falls goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.6,137500
IND0057,goa adventure tour,goa,5,5star,breakfast,flight cab,anjuna beach goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,budget,students solo travelers,4.4,14000
IND0058,goa cultural tour,goa,6,5star,breakfast dinner,flight cab,chapora fort goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.2,38500
IND0059,goa nature tour,goa,3,luxury heritage,breakfast lunch dinner,private cab,se cathedral goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.5,38000
IND0060,goa premium tour,goa,3,5star,breakfast,flight cab,baga beach goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,adventure,adventure lovers,4.5,27500
IND0061,goa luxury tour,goa,3,5star,breakfast dinner,ac coach,arambol beach goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,luxury,premium travelers,4.6,89000
IND0062,goa family tour,goa,6,3star,breakfast lunch dinner,flight cab,palolem beach goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,cultural,history enthusiasts,4.6,32000
IND0063,goa weekend tour,goa,3,5star,breakfast,private cab,colva beach goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,nature wildlife,nature lovers,4.3,25500
IND0064,goa discovery tour,goa,7,5star,breakfast dinner,ac coach,miramar beach goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,grand tour,all travelers,4.2,136500
IND0065,goa panorama tour,goa,5,5star,breakfast lunch dinner,train cab,aguada beach goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,budget,students solo travelers,4.5,16000
IND0066,goa escape tour,goa,5,3star,breakfast lunch dinner,train cab,dr salim ali bird santuary goa local market goa city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,3.9,37500
IND0067,ahmedabad explorer tour,ahmedabad,5,3star,breakfast dinner,ac coach,sabarmati ashram ahmedabad local market ahmedabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,guided tour museum visit photography,honeymoon,couples,4.6,49500
IND0068,dwarka explorer tour,dwarka,5,luxury heritage,breakfast lunch dinner,train cab,dwarkadhish temple dwarka local market dwarka city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.7,39000
IND0069,junagadh explorer tour,junagadh,7,3star,breakfast,ac coach,gir national park junagadh local market junagadh city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.5,129000
IND0070,bhuj explorer tour,bhuj,7,5star,breakfast lunch dinner,ac coach,white desert bhuj local market bhuj city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.6,34000
IND0071,vadodara explorer tour,vadodara,6,3star,breakfast dinner,flight cab,laxmi vilas palace vadodara local market vadodara city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.4,38500
IND0072,somnath explorer tour,somnath,3,4star,breakfast lunch dinner,ac coach,somnath temple somnath local market somnath city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.8,88500
IND0073,rann of kutch explorer tour,rann of kutch,3,luxury heritage,breakfast lunch dinner,ac coach,rann utsav rann of kutch local market rann of kutch city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.9,10500
IND0074,kevadia explorer tour,kevadia,4,4star,breakfast dinner,private cab,statue of unity kevadia local market kevadia city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.6,31500
IND0075,gandhinagar explorer tour,gandhinagar,4,luxury heritage,breakfast lunch dinner,ac coach,dandi kutir gandhinagar local market gandhinagar city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.5,41500
IND0076,ahmedabad heritage tour,ahmedabad,5,3star,breakfast dinner,private cab,sabarmati riverfront ahmedabad local market ahmedabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.6,38500
IND0077,ahmedabad royal tour,ahmedabad,6,4star,breakfast dinner,flight cab,manek chowk ahmedabad local market ahmedabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.4,118500
IND0078,ahmedabad scenic tour,ahmedabad,5,4star,breakfast,ac coach,kankaria lake ahmedabad local market ahmedabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.5,27000
IND0079,ahmedabad adventure tour,ahmedabad,6,5star,breakfast,flight cab,science city ahmedabad local market ahmedabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.4,40000
IND0080,jaipur explorer tour,jaipur,5,5star,breakfast,private cab,hawa mahal jaipur local market jaipur city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.4,114000
IND0081,udaipur explorer tour,udaipur,5,5star,breakfast,private cab,city palace udaipur local market udaipur city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.4,14000
IND0082,jaisalmer explorer tour,jaisalmer,7,5star,breakfast lunch dinner,flight cab,jaisalmer fort jaisalmer local market jaisalmer city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.4,42500
IND0083,sawai madhopur explorer tour,sawai madhopur,6,luxury heritage,breakfast lunch dinner,ac coach,ranthambore national park sawai madhopur local market sawai madhopur city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.6,54000
IND0084,pushkar explorer tour,pushkar,5,luxury heritage,breakfast,ac coach,pushkar lake pushkar local market pushkar city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.4,38000
IND0085,ajmer explorer tour,ajmer,5,3star,breakfast lunch dinner,flight cab,ajmer sharif dargah ajmer local market ajmer city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.6,111000
IND0086,jodhpur explorer tour,jodhpur,7,3star,breakfast lunch dinner,flight cab,mehrangarh fort jodhpur local market jodhpur city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.6,34500
IND0087,chittorgarh explorer tour,chittorgarh,7,luxury heritage,breakfast dinner,train cab,chittorgarh fort chittorgarh local market chittorgarh city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.6,43000
IND0088,mount abu explorer tour,mount abu,5,4star,breakfast dinner,train cab,dilwara temples mount abu local market mount abu city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.6,112000
IND0089,bikaner explorer tour,bikaner,4,luxury heritage,breakfast lunch dinner,private cab,junagarh fort bikaner local market bikaner city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.5,14000
IND0090,jaipur heritage tour,jaipur,5,4star,breakfast dinner,flight cab,amber fort jaipur local market jaipur city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.6,35000
IND0091,jaipur royal tour,jaipur,6,luxury heritage,breakfast lunch dinner,ac coach,jaigarh fort jaipur local market jaipur city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.5,52000
IND0092,udaipur heritage tour,udaipur,7,4star,breakfast lunch dinner,private cab,lake pichola udaipur local market udaipur city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.6,48000
IND0093,amritsar explorer tour,amritsar,5,3star,breakfast,flight cab,golden temple harmandir sahib amritsar local market amritsar city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.9,110500
IND0094,amritsar heritage tour,amritsar,4,4star,breakfast,private cab,jallianwala bagh amritsar local market amritsar city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.8,25500
IND0095,amritsar royal tour,amritsar,4,3star,breakfast dinner,train cab,wagah border amritsar local market amritsar city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.8,32000
IND0096,chandigarh explorer tour,chandigarh,7,luxury heritage,breakfast dinner,train cab,rock garden chandigarh local market chandigarh city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.5,138500
IND0097,alappuzha explorer tour,alappuzha,4,3star,breakfast,train cab,alappuzha beach alappuzha local market alappuzha city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,budget,students solo travelers,4.5,13500
IND0098,munnar explorer tour,munnar,4,luxury heritage,breakfast,ac coach,munnar tea gardens munnar local market munnar city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.3,32000
IND0099,kochi explorer tour,kochi,3,4star,breakfast dinner,flight cab,fort kochi kochi local market kochi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.4,37000
IND0100,thiruvananthapuram explorer tour,thiruvananthapuram,6,luxury heritage,breakfast,train cab,padmanabhaswamy temple thiruvananthapuram local market thiruvananthapuram city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.7,41500
IND0101,kozhikode explorer tour,kozhikode,6,4star,breakfast lunch dinner,flight cab,kozhikode beach kozhikode local market kozhikode city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,luxury,premium travelers,3.9,121000
IND0102,wayanad explorer tour,wayanad,7,4star,breakfast dinner,train cab,wayanad wildlife sanctuary wayanad local market wayanad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.5,35500
IND0103,thekkady explorer tour,thekkady,3,4star,breakfast dinner,flight cab,periyar national park thekkady local market thekkady city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.3,28000
IND0104,kumarakom explorer tour,kumarakom,5,4star,breakfast,ac coach,kumarakom bird sanctuary kumarakom local market kumarakom city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,3.8,112000
IND0105,varkala explorer tour,varkala,6,4star,breakfast,train cab,varkala beach varkala local market varkala city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,budget,students solo travelers,4.6,15500
IND0106,bekal explorer tour,bekal,6,luxury heritage,breakfast dinner,private cab,bekal fort bekal local market bekal city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.5,37500
IND0107,kovalam explorer tour,kovalam,4,luxury heritage,breakfast lunch dinner,private cab,kovalam beach kovalam local market kovalam city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,honeymoon,couples,4.4,42500
IND0108,kannur explorer tour,kannur,7,luxury heritage,breakfast,flight cab,st angelo fort kannur local market kannur city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.4,48500
IND0109,nelliyampathy explorer tour,nelliyampathy,5,luxury heritage,breakfast lunch dinner,ac coach,seethargundu viewpoint nelliyampathy local market nelliyampathy city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.5,110500
IND0110,kochi heritage tour,kochi,6,5star,breakfast dinner,train cab,kerala folklore museum kochi local market kochi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.4,31000
IND0111,kochi royal tour,kochi,3,5star,breakfast lunch dinner,train cab,wonderla amusement park kochi local market kochi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.6,27000
IND0112,mysore explorer tour,mysore,4,4star,breakfast lunch dinner,private cab,mysore palace mysore local market mysore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.6,101500
IND0113,hampi explorer tour,hampi,6,3star,breakfast lunch dinner,train cab,hampi archaeological ruins hampi local market hampi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.7,18500
IND0114,coorg explorer tour,coorg,4,4star,breakfast,flight cab,abbey falls coorg local market coorg city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.1,33500
IND0115,gokarna explorer tour,gokarna,6,4star,breakfast dinner,flight cab,om beach gokarna local market gokarna city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,honeymoon,couples,4.5,54000
IND0116,chikmagalur explorer tour,chikmagalur,5,5star,breakfast dinner,flight cab,mullayanagiri chikmagalur local market chikmagalur city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.5,38000
IND0117,badami explorer tour,badami,3,3star,breakfast lunch dinner,private cab,badami cave temples badami local market badami city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.6,89000
IND0118,shivamogga explorer tour,shivamogga,5,3star,breakfast lunch dinner,private cab,jog falls shivamogga local market shivamogga city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.6,29500
IND0119,mangalore explorer tour,mangalore,3,4star,breakfast,ac coach,panambur beach mangalore local market mangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,nature wildlife,nature lovers,4.5,25500
IND0120,murudeshwar explorer tour,murudeshwar,4,luxury heritage,breakfast lunch dinner,private cab,murudeshwar temple murudeshwar local market murudeshwar city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.7,99500
IND0121,bijapur explorer tour,bijapur,7,luxury heritage,breakfast lunch dinner,flight cab,gol gumbaz bijapur local market bijapur city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.5,20000
